symbol,entry_dt,exit_dt,direction,begin,v3_signal,v3_L,v3_U,v3_M,v3_segment_quality,v3_breakout,ma_close,std_close,band_lower,band_upper,dist_from_ma,band_pos,ret_1,ret_3,ret_6,ret_mean_20,ret_vol_20,atr_14,atr_14_pct,bar_range,bar_range_pct,bar_body,bar_body_pct,hour,day_of_week,z_ma,band_width_pct,edge_proximity,range_vs_atr,body_vs_range,pnl_rel,pnl_abs,bars_in_trade,max_adverse_excursion
ROSN,2022-02-03 11:00:00,2022-02-07 06:00:00+00:00,1,2022-02-03 11:00:00+00:00,1.0,571.91,578.635,575.2725,ROLLING,False,574.0776069413212,2.234827366047525,570.7253658922499,577.4298479903924,-0.003531938742784754,0.19757441191722253,0.0016634564874802305,-0.002441363675996344,,-0.00030152757456767263,0.002656950986821781,,,5.25,0.009177519447600735,0.9499999999999318,0.0016606939952800138,11,3,-0.0015804078634634212,0.01167870339667826,0.19757441191722253,,0.18095238095236796,-0.0025085219823441,-2564.821196428221,91,
ROSN,2022-02-08 08:00:00,2022-02-10 08:00:00+00:00,1,2022-02-08 08:00:00+00:00,1.0,567.085,574.9575,571.02125,ROLLING,False,570.3275675079776,3.5116523184154755,565.0600890303544,575.5950459856008,-0.0025030659384313795,0.364492326447834,-0.0015795015795014855,,,-0.00025103606318065965,0.004881979330862469,,,2.3500000000000227,0.0041307786957286395,0.75,0.0013183336262963614,8,1,-0.0007127886565834087,0.01847176527215473,0.364492326447834,,0.3191489361702097,0.0085515907892424,8721.58239190695,48,
ROSN,2022-02-10 11:00:00,2022-02-14 06:00:00+00:00,1,2022-02-10 11:00:00+00:00,1.0,568.915,578.7575,573.8362500000001,ROLLING,False,575.1418076143425,3.196962597948395,570.3463637174199,579.9372515112651,-0.007462172906790871,0.05251195649513746,-0.00928497049635546,-0.008682816705739338,,-0.0003014857443753849,0.004215630004336764,,,7.149999999999977,0.012525181746518309,5.350000000000023,0.00937198913900328,11,3,-0.0023341445757230988,0.01667569226731705,0.05251195649513746,,0.7482517482517539,-0.0289393010423053,-29766.96339304247,91,
ROSN,2022-05-06 18:00:00,2022-05-11 09:00:00+00:00,1,2022-05-06 18:00:00+00:00,1.0,391.515,398.9925,395.25375,ROLLING,False,395.1353389698227,3.6341415666920276,389.6841266197847,400.58655131986075,-0.007175614758261992,0.23993501007138904,-0.002288911495422097,-0.007463630613535721,0.0010206685378923996,-0.0004891976120509234,0.003208947373834693,,,1.25,0.003186336986999745,1.0,0.002549069589599796,18,4,-0.00197450061495364,0.027591621464433683,0.23993501007138904,,0.7999999999999999,0.0027657405047157,2762.5128282338915,111,
ROSN,2022-06-10 10:00:00,2022-06-14 09:00:00+00:00,1,2022-06-10 10:00:00+00:00,1.0,370.1,375.0,372.55,ROLLING,False,372.07252979279565,2.4689180286876233,368.3691527497642,375.7759068358271,0.00128327185957604,0.5644641636074849,0.0014784946236559016,,,4.6500447539010725e-05,0.0053066872079563735,,,4.400000000000034,0.011810495235538945,0.5500000000000114,0.0014763119044423872,10,4,0.0005197709460844981,0.019906747993966693,0.43553583639251514,,0.1250000000000016,-0.0055428801503153,-5551.723771838538,95,
ROSN,2022-06-23 18:00:00,2022-06-27 09:00:00+00:00,1,2022-06-23 18:00:00+00:00,1.0,375.0,381.7000000000001,378.35,ROLLING,False,378.40578849232924,2.719560093386918,374.32644835224886,382.4851286324096,-1.5297050164908837e-05,0.49929051119415296,0.0022513574361011646,0.0017207147584381577,0.001190633681703801,-0.0005416823502091938,0.004522070322484485,,,2.1499999999999773,0.005681818181818122,0.8499999999999659,0.0022463002114164006,18,3,-5.6248252068804315e-06,0.021560664578274914,0.49929051119415296,,0.39534883720929065,-0.0025898520084566,-2579.605953930381,87,
ROSN,2022-06-29 10:00:00,2022-07-01 10:00:00+00:00,1,2022-06-29 10:00:00+00:00,1.0,374.7,381.95,378.325,ROLLING,False,378.3692143745195,2.6452845060429784,374.40128761545503,382.337141133584,-0.004147309862705308,0.30226268404088724,-0.01335428122545157,,,0.00010274501150911997,0.0044791986635487726,,,6.800000000000011,0.018046709129511708,5.149999999999977,0.013667728237791872,10,2,-0.001567812404764422,0.020973835123578144,0.30226268404088724,,0.757352941176466,-0.001671974522293,-1661.0467683106062,48,
NVTK,2022-01-05 14:00:00,2022-01-10 06:00:00+00:00,1,2022-01-05 14:00:00+00:00,1.0,1758.11,1791.45,1774.7800000000002,ROLLING,False,1780.1030408821948,12.303595969772706,1761.6476469275358,1798.5584348368538,-0.008147304144263132,0.10707853438875946,-0.00641530669667989,-0.01374148139872644,-0.008089887640449489,2.657886874313231e-07,0.0037284461010486667,,,15.400000000000091,0.008722247394653427,10.600000000000136,0.006003624830086167,14,2,-0.0006621888563538098,0.020735197379936825,0.10707853438875946,,0.6883116883116932,0.0021409152695967,2140.9152695967737,112,
NVTK,2022-01-11 11:00:00,2022-01-13 11:00:00+00:00,1,2022-01-11 11:00:00+00:00,1.0,1745.82,1772.62,1759.2199999999998,ROLLING,False,1761.7948543654024,9.965043296674473,1746.8472894203908,1776.742419310414,0.004657265069350566,0.7744642911665621,0.002151511720076993,0.0005652911249294235,,0.00027668374648539553,0.004681810033250217,,,23.799999999999955,0.013446327683615793,3.400000000000091,0.0019209039548023113,11,1,0.0004673602442755853,0.01696856465209256,0.22553570883343788,,0.14285714285714696,0.0001581920903955,158.5307662573734,48,
NVTK,2022-02-02 11:00:00,2022-02-04 11:00:00+00:00,1,2022-02-02 11:00:00+00:00,1.0,1620.51,1648.89,1634.6999999999998,ROLLING,False,1630.2686612849022,7.645276634334749,1618.8007463334002,1641.7365762364043,-0.0031090957001573636,0.2790068505766907,-0.0029447852760735582,-0.003433897473632541,,-0.0001714379765498375,0.0037574726913419845,,,15.599999999999909,0.009598818606940628,4.7999999999999545,0.0029534826482894134,11,2,-0.0004066688295089927,0.014068742439621668,0.2790068505766907,,0.3076923076923066,0.0135244892936253,13555.588126918516,48,
NVTK,2022-02-10 23:00:00,2022-02-14 06:00:00+00:00,1,2022-02-10 23:00:00+00:00,1.0,1630.98,1662.38,1646.6799999999998,ROLLING,False,1649.0773981877117,10.071328686909355,1633.9704051573476,1664.1843912180757,-0.010355728728366065,-0.06521500186659357,-0.005969058350590806,-0.011388417736854839,-0.013658890366251564,-0.0009108442219078305,0.004931032407816965,15.142857142857158,0.009278711484593846,18.0,0.011029411764705883,9.799999999999955,0.0060049019607842855,23,3,-0.001028238582047905,0.018321751358627784,-0.06521500186659357,1.188679245283018,0.5444444444444418,-0.0340563725490196,-34596.33749924446,79,
NVTK,2022-06-29 10:00:00,2022-07-01 10:00:00+00:00,1,2022-06-29 10:00:00+00:00,1.0,995.0,1012.0,1003.5,ROLLING,False,1006.3185440754506,7.05811876490022,995.7313659281003,1016.9057222228009,-0.003297707366109928,0.34327532656654225,-0.003576395787800557,,,-0.00038024558609247585,0.003962403065806583,,,12.0,0.011964107676969093,3.6000000000000227,0.0035892323030907503,10,2,-0.00046722185839508855,0.02104140524823024,0.34327532656654225,,0.3000000000000019,0.0174476570289132,17120.66519602367,48,
NVTK,2022-07-08 12:00:00,2022-07-11 09:00:00+00:00,1,2022-07-08 12:00:00+00:00,1.0,987.24,1005.85,996.545,ROLLING,False,998.175842222365,13.679094435066128,977.6572005697658,1018.6944838749641,-0.009192610995208647,0.2764022985117383,0.0020263424518742745,-0.009018036072144242,,-0.0004470912669196303,0.006845184715970761,,,4.7999999999999545,0.004853387259858397,1.7999999999999545,0.00182002022244687,12,4,-0.0006720189731012853,0.04111227858794084,0.2764022985117383,,0.37499999999999406,0.0041051567239635,4098.503750404194,69,
NVTK,2022-07-21 12:00:00,2022-07-25 09:00:00+00:00,1,2022-07-21 12:00:00+00:00,1.0,922.66,938.8,930.73,ROLLING,False,927.7120441414322,10.408163169589157,912.0997993870485,943.3242888958159,-0.0022766160628935484,0.4323593700118249,0.017142857142857126,-0.00021602937999565253,,-0.0008538918486422353,0.007110971860766663,,,24.799999999999955,0.02679343128781326,16.399999999999977,0.01771823681936039,12,3,-0.00021873370217190914,0.03365752304926114,0.4323593700118249,,0.6612903225806455,0.0161840968020743,16224.19881896837,93,
NVTK,2022-09-16 18:00:00,2022-09-19 09:00:00+00:00,1,2022-09-16 18:00:00+00:00,1.0,1171.6,1194.31,1182.955,ROLLING,False,1183.8531741697795,7.973656010645033,1171.892690153812,1195.813658185747,-0.006464631203228874,0.18006419474486327,-0.0006796941376380206,0.0011916922029282517,-0.016226162596185922,-0.0002076954673076392,0.005029662018479063,,,3.2000000000000455,0.0027206257439211404,1.0,0.0008501955449753442,18,4,-0.0008107486947767031,0.02020602601222947,0.18006419474486327,,0.31249999999999556,-0.0008331916340758,-848.7740376980196,63,
NVTK,2022-10-04 16:00:00,2022-10-06 16:00:00+00:00,1,2022-10-04 16:00:00+00:00,1.0,994.95,1013.94,1004.445,ROLLING,False,1001.5883145354682,14.329794116618585,980.0936233605403,1023.083005710396,-0.0013861129521184614,0.4677056412634696,-0.003586371787208553,-0.00754117880531846,-0.004974134500596916,0.0006959849741013547,0.006307896991962839,,,8.200000000000045,0.008198360327934457,3.599999999999909,0.003599280143971115,16,1,-9.672943943492915e-05,0.04292120996818341,0.4677056412634696,,0.43902439024388895,-0.0200159968006398,-20373.34820399157,48,
NVTK,2022-10-14 14:00:00,2022-10-17 09:00:00+00:00,1,2022-10-14 14:00:00+00:00,1.0,966.11,985.42,975.765,ROLLING,False,974.2734090094655,7.463377711968136,963.0783424415133,985.4684755774176,-0.008286594845766734,0.13942112534743764,-0.0016532341392848648,-0.007192766132346873,,-0.0006691491845840947,0.004239230014836757,,,8.0,0.008279859242392879,1.7999999999999545,0.0018629683295383506,14,4,-0.0011103008805890262,0.022981365321946067,0.13942112534743764,,0.22499999999999432,0.0099979300351893,9972.734673492709,67,
NVTK,2022-11-02 10:00:00,2022-11-07 09:00:00+00:00,1,2022-11-02 10:00:00+00:00,1.0,1100.0,1117.1,1108.55,ROLLING,False,1107.6186611607534,7.116250820123436,1096.9442849305683,1118.2930373909385,-0.005614442387812712,0.20871079364955686,-0.007032095203750366,,,4.194679713498406e-06,0.0029176312023199225,,,13.799999999999955,0.012529507899037546,8.399999999999864,0.0076266569820227555,10,2,-0.0007889607223983887,0.01927446079501521,0.20871079364955686,,0.6086956521739052,0.0087706555293262,8836.020390843105,119,
