strategy,symbol,rsi_low,rsi_high,rsi_len,boll_window,boll_mult,min_gap_bars,total_return,max_drawdown
meanrev,GAZP,20,70,14,14,1.5,15,-0.44378537186209344,0.45452448128661344
meanrev,GAZP,20,70,14,14,1.5,20,-0.4291185410734175,0.4378178870792197
meanrev,GAZP,20,70,14,14,1.5,25,-0.3618469541662187,0.38570242256216586
meanrev,GAZP,20,70,14,14,1.5,30,-0.24705533973475557,0.2894292854578969
meanrev,GAZP,20,70,14,14,2.0,10,-0.30263376912342554,0.32275396192270683
meanrev,GAZP,20,70,14,14,2.0,15,-0.34919245571760116,0.3618336043715375
meanrev,GAZP,20,70,14,14,2.0,20,-0.3328046071215379,0.3488125933860395
meanrev,GAZP,20,70,14,14,2.0,25,-0.2597534973112554,0.2904059810650943
meanrev,GAZP,20,70,14,14,2.0,30,-0.2450181532955118,0.285519500380161
meanrev,GAZP,20,70,14,14,2.5,10,-0.26139411126209744,0.28460150065960027
meanrev,GAZP,20,70,14,14,2.5,15,-0.282088806832857,0.29789546754883267
meanrev,GAZP,20,70,14,14,2.5,20,-0.2768828291348506,0.2928041128347699
meanrev,GAZP,20,70,14,14,2.5,25,-0.2859252135457685,0.29933555423138264
meanrev,GAZP,20,70,14,14,2.5,30,-0.29377552894601544,0.31156559880119183
meanrev,GAZP,20,70,14,20,1.5,10,-0.17237890907362963,0.20358408740890965
meanrev,GAZP,20,70,14,20,1.5,15,-0.19079799888106475,0.2163798382351594
meanrev,GAZP,20,70,14,20,1.5,20,-0.15711547993349995,0.19793258325757193
meanrev,GAZP,20,70,14,20,1.5,25,-0.10160533503519842,0.19878899386662877
meanrev,GAZP,20,70,14,20,1.5,30,-0.06406194613486493,0.19232286286823874
meanrev,GAZP,20,70,14,20,2.0,10,-0.17564749702812932,0.2148535738422287
meanrev,GAZP,20,70,14,20,2.0,15,-0.19119548253082075,0.22227857727358755
meanrev,GAZP,20,70,14,20,2.0,20,-0.16155449380770326,0.1937222164090193
meanrev,GAZP,20,70,14,20,2.0,25,-0.11518706420365654,0.1742589756990221
meanrev,GAZP,20,70,14,20,2.0,30,-0.17595738651931103,0.2317352348863066
meanrev,GAZP,20,70,14,20,2.5,10,-0.09484887195539304,0.13545424538631023
meanrev,GAZP,20,70,14,20,2.5,15,-0.10469946901711269,0.13656127912642768
meanrev,GAZP,20,70,14,20,2.5,20,-0.08094611887886227,0.13082924878949365
meanrev,GAZP,20,70,14,20,2.5,25,-0.06709571619939858,0.1249774319525502
meanrev,GAZP,20,70,14,20,2.5,30,-0.10141874431917741,0.1590429153967326
meanrev,GAZP,20,70,14,30,1.5,10,-0.06494956744507019,0.06867029052074165
meanrev,GAZP,20,70,14,30,1.5,15,-0.06528204517014702,0.06672507247532625
meanrev,GAZP,20,70,14,30,1.5,20,0.0069455273302980736,0.04389794980381079
meanrev,GAZP,20,70,14,30,1.5,25,0.06929360952124375,0.03802658734478178
meanrev,GAZP,20,70,14,30,1.5,30,-0.02545584873890039,0.09861074932075943
meanrev,GAZP,20,70,14,30,2.0,10,-0.04104325785636331,0.04348692851145859
meanrev,GAZP,20,70,14,30,2.0,15,-0.031087022888849125,0.0375982941307841
meanrev,GAZP,20,70,14,30,2.0,20,0.015115503084734527,0.027161314306812668
meanrev,GAZP,20,70,14,30,2.0,25,0.09746487813030003,0.027731630150858225
meanrev,GAZP,20,70,14,30,2.0,30,-0.012828049184409052,0.08471665123622932
meanrev,GAZP,20,70,14,30,2.5,10,-0.027629721207949154,0.040265207129529836
meanrev,GAZP,20,70,14,30,2.5,15,-0.021245645251178114,0.040265207129529836
meanrev,GAZP,20,70,14,30,2.5,20,0.03235827108614564,0.023184795749601483
meanrev,GAZP,20,70,14,30,2.5,25,0.08387442198666606,0.02805328321232219
meanrev,GAZP,20,70,14,30,2.5,30,-0.0244605361000394,0.08849599304579676
meanrev,GAZP,20,70,20,14,1.5,10,-0.3166908549828761,0.3203432633250095
meanrev,GAZP,20,70,20,14,1.5,15,-0.3797555344523592,0.3822229949224095
meanrev,GAZP,20,70,20,14,1.5,20,-0.37441051619693066,0.37441051619693066
meanrev,GAZP,20,70,20,14,1.5,25,-0.32323773019592117,0.3249341518224749
meanrev,GAZP,20,70,20,14,1.5,30,-0.2998470668282266,0.30885038343622995
meanrev,GAZP,20,70,20,14,2.0,10,-0.17914403226813702,0.18430709322234615
meanrev,GAZP,20,70,20,14,2.0,15,-0.21303420037361354,0.21489918573060152
meanrev,GAZP,20,70,20,14,2.0,20,-0.22069471120927753,0.2206947112092775
meanrev,GAZP,20,70,20,14,2.0,25,-0.14024874678317734,0.17653847361919656
meanrev,GAZP,20,70,20,14,2.0,30,-0.18966153334668345,0.24952223801611675
meanrev,GAZP,20,70,20,14,2.5,10,-0.14826229479452502,0.1774742189583726
meanrev,GAZP,20,70,20,14,2.5,15,-0.15748788241699174,0.17779213340305466
meanrev,GAZP,20,70,20,14,2.5,20,-0.15589241760275085,0.17623511873968006
meanrev,GAZP,20,70,20,14,2.5,25,-0.1562117986217959,0.17654680278649712
meanrev,GAZP,20,70,20,14,2.5,30,-0.1977856061065446,0.24781677456484189
meanrev,GAZP,20,70,20,20,1.5,10,-0.17537446964526648,0.19925704131395655
meanrev,GAZP,20,70,20,20,1.5,15,-0.19898563918094314,0.2096759090137744
meanrev,GAZP,20,70,20,20,1.5,20,-0.17909729452364642,0.1829360736039317
meanrev,GAZP,20,70,20,20,1.5,25,-0.1280277363270499,0.15349414930266475
meanrev,GAZP,20,70,20,20,1.5,30,-0.16225535529805823,0.22285649548803546
meanrev,GAZP,20,70,20,20,2.0,10,-0.1825006652501605,0.19971271271149713
meanrev,GAZP,20,70,20,20,2.0,15,-0.20008703213155332,0.2119722307572363
meanrev,GAZP,20,70,20,20,2.0,20,-0.19316582015698058,0.19778770544276394
meanrev,GAZP,20,70,20,20,2.0,25,-0.1298708806884017,0.15402233484898717
meanrev,GAZP,20,70,20,20,2.0,30,-0.23664854380693945,0.2553972682462958
meanrev,GAZP,20,70,20,20,2.5,10,-0.08425006371173382,0.10906392652884278
meanrev,GAZP,20,70,20,20,2.5,15,-0.09299567402083997,0.11198709102676684
meanrev,GAZP,20,70,20,20,2.5,20,-0.093191694111328,0.1064524059227963
meanrev,GAZP,20,70,20,20,2.5,25,-0.04823948406767786,0.08324530565240036
meanrev,GAZP,20,70,20,20,2.5,30,-0.13321963174755913,0.15528932378694818
