dt,side,conf
2022-07-05 18:00:00+00:00,-1,0.75
2022-07-05 18:10:00+00:00,1,0.75
2022-07-05 18:30:00+00:00,-1,0.75
2022-07-05 18:40:00+00:00,1,0.75
2022-07-06 09:50:00+00:00,-1,0.75
2022-07-06 10:00:00+00:00,1,0.75
2022-07-06 13:10:00+00:00,-1,0.75
2022-07-07 14:10:00+00:00,1,0.75
2022-07-07 16:40:00+00:00,-1,0.75
2022-07-08 10:00:00+00:00,1,0.75
2022-07-08 10:20:00+00:00,-1,0.75
2022-07-11 17:20:00+00:00,1,0.75
2022-07-12 10:00:00+00:00,-1,0.75
2022-07-12 17:50:00+00:00,1,0.75
2022-07-13 10:10:00+00:00,-1,0.75
2022-07-13 15:00:00+00:00,1,0.75
2022-07-13 15:20:00+00:00,-1,0.75
2022-07-13 18:10:00+00:00,1,0.75
2022-07-13 18:40:00+00:00,-1,0.75
2022-07-14 10:00:00+00:00,1,0.75
2022-07-14 12:50:00+00:00,-1,0.75
2022-07-14 18:00:00+00:00,1,0.75
2022-07-15 10:40:00+00:00,-1,0.75
2022-07-15 12:20:00+00:00,1,0.75
2022-07-18 11:00:00+00:00,-1,0.75
2022-07-18 11:10:00+00:00,1,0.75
2022-07-18 11:20:00+00:00,-1,0.75
2022-07-18 17:10:00+00:00,1,0.75
2022-07-18 17:30:00+00:00,-1,0.75
2022-07-18 18:20:00+00:00,1,0.75
2022-07-19 10:00:00+00:00,-1,0.75
2022-07-19 15:00:00+00:00,1,0.75
2022-07-19 16:10:00+00:00,-1,0.75
2022-07-19 18:10:00+00:00,1,0.75
2022-07-20 14:50:00+00:00,-1,0.75
2022-07-21 13:40:00+00:00,1,0.75
2022-07-21 14:20:00+00:00,-1,0.75
2022-07-21 15:10:00+00:00,1,0.75
2022-07-21 16:20:00+00:00,-1,0.75
2022-07-21 17:00:00+00:00,1,0.75
2022-07-21 17:20:00+00:00,-1,0.75
2022-07-21 17:40:00+00:00,1,0.75
2022-07-25 16:30:00+00:00,-1,0.75
2022-07-26 09:50:00+00:00,1,0.75
2022-07-28 10:30:00+00:00,-1,0.75
2022-07-28 14:20:00+00:00,1,0.75
2022-07-29 12:20:00+00:00,-1,0.75
2022-07-29 15:00:00+00:00,1,0.75
2022-08-01 10:20:00+00:00,-1,0.75
2022-08-01 10:30:00+00:00,1,0.75
2022-08-01 10:40:00+00:00,-1,0.75
2022-08-01 12:30:00+00:00,1,0.75
2022-08-01 15:40:00+00:00,-1,0.75
2022-08-01 17:00:00+00:00,1,0.75
2022-08-01 18:30:00+00:00,-1,0.75
2022-08-05 14:10:00+00:00,1,0.75
2022-08-05 15:10:00+00:00,-1,0.75
2022-08-05 17:00:00+00:00,1,0.75
