dt,side,conf
2022-06-15 16:10:00+00:00,1,0.75
2022-06-16 10:00:00+00:00,-1,0.75
2022-06-16 10:10:00+00:00,1,0.75
2022-06-16 13:50:00+00:00,-1,0.75
2022-06-16 15:00:00+00:00,1,0.75
2022-06-17 10:40:00+00:00,-1,0.75
2022-06-17 18:40:00+00:00,1,0.75
2022-06-20 10:40:00+00:00,-1,0.75
2022-06-20 13:10:00+00:00,1,0.75
2022-06-20 15:10:00+00:00,-1,0.75
2022-06-20 17:10:00+00:00,1,0.75
2022-06-20 17:30:00+00:00,-1,0.75
2022-06-20 18:40:00+00:00,1,0.75
2022-06-21 10:20:00+00:00,-1,0.75
2022-06-22 12:50:00+00:00,1,0.75
2022-06-22 15:40:00+00:00,-1,0.75
2022-06-22 18:40:00+00:00,1,0.75
2022-06-23 10:10:00+00:00,-1,0.75
2022-06-23 10:30:00+00:00,1,0.75
2022-06-24 10:30:00+00:00,-1,0.75
2022-06-24 18:40:00+00:00,1,0.75
2022-06-27 10:00:00+00:00,-1,0.75
2022-06-28 14:20:00+00:00,1,0.75
2022-06-28 18:40:00+00:00,-1,0.75
2022-06-30 10:10:00+00:00,1,0.75
2022-06-30 10:50:00+00:00,-1,0.75
2022-06-30 13:50:00+00:00,1,0.75
2022-06-30 16:40:00+00:00,-1,0.75
2022-07-01 12:00:00+00:00,1,0.75
2022-07-01 14:40:00+00:00,-1,0.75
2022-07-01 16:30:00+00:00,1,0.75
2022-07-01 17:10:00+00:00,-1,0.75
2022-07-05 09:50:00+00:00,1,0.75
2022-07-05 10:20:00+00:00,-1,0.75
2022-07-05 15:30:00+00:00,1,0.75
2022-07-06 12:30:00+00:00,-1,0.75
2022-07-06 14:30:00+00:00,1,0.75
2022-07-06 14:50:00+00:00,-1,0.75
2022-07-07 10:00:00+00:00,1,0.75
2022-07-07 10:40:00+00:00,-1,0.75
2022-07-07 12:00:00+00:00,1,0.75
2022-07-07 16:50:00+00:00,-1,0.75
2022-07-07 18:10:00+00:00,1,0.75
2022-07-08 12:30:00+00:00,-1,0.75
2022-07-08 15:00:00+00:00,1,0.75
2022-07-08 16:10:00+00:00,-1,0.75
2022-07-08 16:30:00+00:00,1,0.75
2022-07-11 11:10:00+00:00,-1,0.75
2022-07-11 11:20:00+00:00,1,0.75
2022-07-11 11:30:00+00:00,-1,0.75
2022-07-11 11:50:00+00:00,1,0.75
2022-07-11 12:10:00+00:00,-1,0.75
2022-07-11 12:20:00+00:00,1,0.75
2022-07-11 12:40:00+00:00,-1,0.75
2022-07-12 17:20:00+00:00,1,0.75
2022-07-12 18:40:00+00:00,-1,0.75
2022-07-14 10:30:00+00:00,1,0.75
2022-07-14 12:30:00+00:00,-1,0.75
2022-07-14 17:30:00+00:00,1,0.75
2022-07-15 11:30:00+00:00,-1,0.75
2022-07-15 12:20:00+00:00,1,0.75
2022-07-18 10:40:00+00:00,-1,0.75
2022-07-18 15:30:00+00:00,1,0.75
2022-07-18 15:50:00+00:00,-1,0.75
2022-07-18 17:10:00+00:00,1,0.75
2022-07-18 17:40:00+00:00,-1,0.75
2022-07-18 18:40:00+00:00,1,0.75
2022-07-19 10:00:00+00:00,-1,0.75
2022-07-19 18:10:00+00:00,1,0.75
2022-07-20 11:20:00+00:00,-1,0.75
2022-07-20 12:00:00+00:00,1,0.75
2022-07-20 13:40:00+00:00,-1,0.75
2022-07-20 14:00:00+00:00,1,0.75
2022-07-20 15:10:00+00:00,-1,0.75
2022-07-20 15:40:00+00:00,1,0.75
2022-07-21 10:20:00+00:00,-1,0.75
2022-07-21 13:00:00+00:00,1,0.75
2022-07-21 13:10:00+00:00,-1,0.75
2022-07-21 13:50:00+00:00,1,0.75
2022-07-21 14:10:00+00:00,-1,0.75
2022-07-21 15:20:00+00:00,1,0.75
2022-07-21 15:50:00+00:00,-1,0.75
2022-07-22 09:50:00+00:00,1,0.75
2022-07-22 16:20:00+00:00,-1,0.75
2022-07-25 14:50:00+00:00,1,0.75
2022-07-27 15:40:00+00:00,-1,0.75
2022-07-27 17:10:00+00:00,1,0.75
2022-07-27 17:20:00+00:00,-1,0.75
2022-07-28 14:50:00+00:00,1,0.75
2022-07-28 15:00:00+00:00,-1,0.75
2022-07-28 18:00:00+00:00,1,0.75
